Company,Ticker,Country,Sector,Industry,Financial_Currency_Normalized,Fiscal_Year_Indicator,Revenue_USD_B,EBITDA_USD_B,EBITDA_Margin_Calculated_Pct,MarketCap_USD_B,EnterpriseValue_USD_B,Data_Quality_Status,Quality_Issues,Revenue_Log_USD_B,Revenue_Log_Standardized,EBITDA_Margin_Standardized,Strategic_Cluster_ID,Model_Number_of_Clusters,Model_Silhouette_Score,Strategic_Cluster_Name,Distance_to_Centroid,Cluster_Representativeness,Revenue_Rank_Inside_Cluster,Margin_Rank_Inside_Cluster,Revenue_Percentile,EBITDA_Percentile,EBITDA_Margin_Percentile,MarketCap_Percentile,EnterpriseValue_Percentile,Revenue_Global_Rank,Margin_Global_Rank,EBITDA_Global_Rank,Scale_Profitability_Score,Scale_Profitability_Rank,Benchmark_Position,EV_to_Revenue,EV_to_EBITDA,Has_Statistical_Outlier,Outlier_Metrics
SLB,SLB,United States,Energy,Oil & Gas Equipment & Services,USD,2025,35.93900032,7.510000128,20.89651927190834,70.252765184,79.60576,OK,,3.609267912141775,1.8532194329933243,0.013181581639219406,2,2,0.4225297235691627,Cluster 2 - High Scale / Low Margin,1.1483521604851228,Outlying Member,1,1,100.0,100.0,60.86956521739131,100.0,100.0,1,10,1,80.43478260869566,1,Leading Position,2.215024327087349,10.599967861944624,False,
Larsen & Toubro,LT.NS,India,Industrials,Engineering & Construction,INR,2026,30.291683775754393,3.5230550292577516,11.630436443673762,54.51042730284082,61.58278784212793,OK,,3.4433523681778313,1.6840984519497326,-0.7847761470591093,2,2,0.4225297235691627,Cluster 2 - High Scale / Low Margin,0.7557844158652838,Moderately Representative,2,6,95.65217391304348,91.30434782608695,26.08695652173913,90.0,95.65217391304348,2,18,3,60.869565217391305,6,Above-Market Position,2.032993223421244,17.479939237594703,False,
Baker Hughes,BKR,United States,Energy,Oil & Gas Equipment & Services,USD,2025,27.893000192,4.821000192,17.283906925805397,55.506243584,55.9122432,OK,,3.363599357892045,1.6028046381305585,-0.29792204173655756,2,2,0.4225297235691627,Cluster 2 - High Scale / Low Margin,0.7674221904087525,Moderately Representative,3,4,91.30434782608695,95.65217391304348,43.47826086956522,95.0,91.30434782608695,3,14,2,67.3913043478261,3,Above-Market Position,2.0045259676309835,11.597643844275542,False,
Prysmian,PRYMY,Italy,Industrials,Electrical Equipment & Parts,EUR,2025,23.59505489939209,2.8854296243811035,12.228959147094184,41.820213248,45.139218432,OK,,3.2025454023811033,1.4386391699277685,-0.733233782734406,2,2,0.4225297235691627,Cluster 2 - High Scale / Low Margin,0.5057595632791297,Highly Representative,4,5,86.95652173913044,86.95652173913044,30.434782608695656,85.0,86.95652173913044,4,17,4,58.69565217391305,7,Mid-Market Position,1.9130796103027072,15.643846604535337,False,
Saipem,SPM.MI,Italy,Energy,Oil & Gas Equipment & Services,EUR,2025,17.755521901907958,1.3986493813991547,7.8772642624988665,9.331656526653443,9.359125322926026,OK,,2.9314882104944755,1.1623452367882086,-1.1079842172458367,2,2,0.4225297235691627,Cluster 2 - High Scale / Low Margin,0.4862203019841729,Highly Representative,5,9,82.6086956521739,69.56521739130434,13.043478260869565,75.0,65.21739130434783,5,21,8,47.826086956521735,10,Mid-Market Position,0.5271106856014365,6.691545034369885,False,
TechnipFMC,FTI,United Kingdom,Energy,Oil & Gas Equipment & Services,USD,2025,10.191699968,1.916099968,18.800592384157593,,29.0856448,OK,,2.4151724292840466,0.6360543941075962,-0.16731119938484018,2,2,0.4225297235691627,Cluster 2 - High Scale / Low Margin,0.5919632452772552,Highly Representative,6,2,78.26086956521739,82.6086956521739,52.17391304347826,,82.6086956521739,6,12,5,65.21739130434783,4,Above-Market Position,2.8538560683029717,15.179607163377398,False,
Nexans,NEX.PA,France,Industrials,Electrical Equipment & Parts,EUR,2025,8.938994672422485,0.745106994509697,8.335467486163871,,7.086506412128906,OK,,2.2964658759582055,0.5150544668245173,-1.068525601300393,2,2,0.4225297235691627,Cluster 2 - High Scale / Low Margin,0.5743632225037351,Highly Representative,7,7,73.91304347826086,52.17391304347826,21.73913043478261,,52.17391304347826,7,19,12,47.826086956521735,10,Mid-Market Position,0.7927632437226243,9.510723244239632,False,
Subsea 7,SUBC.OL,Luxembourg,Energy,Oil & Gas Equipment & Services,USD,2025,7.346200064,1.311299968,17.850044330075026,9.80805075664856,9.790756723157958,OK,,2.1218063531257645,0.337020575940567,-0.24916856892433245,2,2,0.4225297235691627,Cluster 2 - High Scale / Low Margin,0.7364347864011889,Moderately Representative,8,3,69.56521739130434,65.21739130434783,47.82608695652174,80.0,69.56521739130434,8,13,9,58.69565217391305,7,Mid-Market Position,1.3327647815007777,7.4664508213867045,False,
Aker Solutions,AKSO.OL,Norway,Energy,Oil & Gas Equipment & Services,NOK,2025,6.150124533847961,0.34914868315169334,5.677099402298456,2.068953547013168,1.895573079209976,OK,,1.9671297738756297,0.17935569293880047,-1.2974535525789732,2,2,0.4225297235691627,Cluster 2 - High Scale / Low Margin,0.9780184435418064,Moderately Representative,9,10,65.21739130434783,21.73913043478261,8.695652173913043,20.0,17.391304347826086,9,22,19,36.95652173913044,11,Below-Market Position,0.30821702370048903,5.429128536585124,False,
SBM Offshore,SBMO.AS,Netherlands,Energy,Oil & Gas Equipment & Services,USD,2025,5.903000064,1.803000064,30.543792045603475,5.980474515654602,17.801492316047973,OK,,1.9319561089926698,0.14350248371087276,0.8439658529792243,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,0.9217734695906146,Moderately Representative,1,7,60.86956521739131,78.26086956521739,73.91304347826086,65.0,78.26086956521739,10,7,6,67.3913043478261,3,Above-Market Position,3.0156686639073653,9.873262165368384,False,
Modec,6269.T,Japan,Energy,Oil & Gas Equipment & Services,USD,2025,4.713882112,0.384595456,8.15878392505714,3.9955506604156494,3.9862474246139525,OK,,1.7428986721641788,-0.04920748442188787,-1.0837408778884094,2,2,0.4225297235691627,Cluster 2 - High Scale / Low Margin,1.0655454228470949,Outlying Member,10,8,56.52173913043478,26.08695652173913,17.391304347826086,45.0,39.130434782608695,11,20,18,36.95652173913044,11,Below-Market Position,0.8456400329711835,10.364780348871186,False,
